english,spanish
This website uses cookies,Esta página web usa cookies
"We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. By clicking ""ALLOW ALL COOKIES"" you consent to our Cookie Policy and Privacy Policy .","Las cookies de este sitio web se usan para personalizar el contenido y los anuncios, ofrecer funciones de redes sociales y analizar el tráfico. Además, compartimos información sobre el uso que haga del sitio web con nuestros partners de redes sociales, publicidad y análisis web, quienes pueden combinarla con otra información que les haya proporcionado o que hayan recopilado a partir del uso que haya hecho de sus servicios. Al hacer clic en ""PERMITIR TODAS LAS COOKIES"", acepta nuestra Política de cookies y privacidad ."
Necessary,Necesario
Preferences,Preferencias
Statistics,Estadística
Marketing,Marketing
The world's 1st full-spectrum red light,La primera luz roja de espectro completo del mundo
Built to go deeper. Red light evolved.,Diseñado para llegar más profundo en la piel. Luz roja evolucionada.
"Our bodies evolved to draw healing energy from the sun's red and near-infrared light - to fuel cellular function, support skin repair, and promote overall skin health. The problem is that the sun also exposes us to harmful UV and blue light, which can adversely cause skin aging, pigmentation, and DNA damage. So FAQ™ has engineered a revolutionary new device: a full-spectrum red light therapy device that mimics the full spectrum of the sun’s natural healing wavelengths - delivering both broad and narrow light wavelengths, while filtering out damaging UV and blue light. This isn’t just red light therapy. It’s the complete spectrum of skin rejuvenation.","Nuestros cuerpos han evolucionado para captar la energía reparadora de la luz roja y el infrarrojo cercano del sol, impulsando la función celular, favoreciendo la reparación de la piel y promoviendo su salud en general. El problema es que el sol también nos expone a radiaciones dañinas como los rayos UV y la luz azul, que pueden acelerar el envejecimiento cutáneo, causar pigmentación irregular y dañar el ADN. Por eso, FAQ™ ha desarrollado un dispositivo revolucionario: un equipo de terapia con luz roja de espectro completo que reproduce el espectro completo de las longitudes de onda naturales y reparadoras del sol, combinando luz roja de banda ancha y estrecha, y filtrando los rayos UV y la luz azul perjudiciales. Esto no es solo terapia con luz roja. Es el espectro completo del rejuvenecimiento cutáneo."
Improves pigmentation,Mejora la pigmentación
"Targets pigmentation irregularities, such as sunspots, age spots, and discoloration - promoting a more even and youthful complexion.","Actúa sobre las irregularidades de la pigmentación, como las manchas solares, las manchas de edad y las decoloraciones, promoviendo un tono de piel más uniforme y rejuvenecido."
Minimizes wrinkles,Minimiza las arrugas
"Stimulates collagen and elastin production, helping to reduce fine lines and wrinkles, and improve firmness, by rejuvenating the skin’s structure.","Estimula la producción de colágeno y elastina, ayudando a reducir líneas finas y arrugas, y a mejorar la firmeza al rejuvenecer la estructura de la piel."
Real results,Resultados reales
Treats acne & scarring,Trata el acné y las cicatrices
"Targets acne-causing bacteria to help reduce breakouts, and accelerates tissue healing to help soften and fade the appearance of scars.",Actúa sobre las bacterias causantes del acné para ayudar a reducir los brotes y acelera la cicatrización del tejido para suavizar y disminuir la apariencia de las cicatrices.
Smooths skin texture,Suaviza la textura de la piel
"Encourages collagen renewal and cellular turnover, helping to improve roughness and pore size, and enhance overall skin quality - for a smoother, more radiant finish.","Favorece la renovación de colágeno y la renovación celular, ayudando a mejorar la aspereza y el tamaño de los poros, y a realzar la calidad general de la piel — para un acabado más suave y radiante."
Reduces redness,Reduce el enrojecimiento
"Effectively calms redness and rosacea by targeting the underlying causes of skin inflammation, leading to a more balanced complexion.","Calma eficazmente el enrojecimiento y la rosácea al actuar sobre las causas subyacentes de la inflamación cutánea, logrando un tono de piel más uniforme y equilibrado."
Smart Swiss design,Diseño suizo inteligente
"USB rechargeable, cordless, lightweight & ergonomically shaped. Access 3 video-guided treatments on the FAQ™ Swiss app.","Recargable por USB, inalámbrico, ligero y de diseño ergonómico. Accede a 3 tratamientos guiados por video en la app FAQ™ Swiss."
Red light evolved.,La luz roja evolucionada.
Improves pigmentation,Mejora la pigmentación
"Targets pigmentation irregularities, such as sunspots, age spots, and discoloration - promoting a more even and youthful complexion.","Actúa sobre las irregularidades de la pigmentación, como las manchas solares, las manchas de edad y las decoloraciones, promoviendo un tono de piel más uniforme y rejuvenecido."
Minimizes wrinkles,Minimiza las arrugas
"Stimulates collagen and elastin production, helping to reduce fine lines and wrinkles, and improve firmness, by rejuvenating the skin’s structure.","Estimula la producción de colágeno y elastina, ayudando a reducir líneas finas y arrugas, y a mejorar la firmeza al rejuvenecer la estructura de la piel."
Treats acne & scarring,Trata el acné y las cicatrices
"Targets acne-causing bacteria to help reduce breakouts, and accelerates tissue healing to help soften and fade the appearance of scars.",Actúa sobre las bacterias causantes del acné para ayudar a reducir los brotes y acelera la cicatrización del tejido para suavizar y disminuir la apariencia de las cicatrices.
Smooths skin texture,Suaviza la textura de la piel
"Encourages collagen renewal and cellular turnover, helping to improve roughness and pore size, and enhance overall skin quality - for a smoother, more radiant finish.","Favorece la renovación de colágeno y la renovación celular, ayudando a mejorar la aspereza y el tamaño de los poros, y a realzar la calidad general de la piel — para un acabado más suave y radiante."
Reduces redness,Reduce el enrojecimiento
"Effectively calms redness and rosacea by targeting the underlying causes of skin inflammation, leading to a more balanced complexion.","Calma eficazmente el enrojecimiento y la rosácea al actuar sobre las causas subyacentes de la inflamación cutánea, logrando un tono de piel más uniforme y equilibrado."
Smart Swiss design,Diseño suizo inteligente
"USB rechargeable, cordless, lightweight & ergonomically shaped. Access 3 video-guided treatments on the FAQ™ Swiss app.","Recargable por USB, inalámbrico, ligero y de diseño ergonómico. Accede a 3 tratamientos guiados por video en la app FAQ™ Swiss."
Full-spectrum vs. traditional red light,Luz roja de espectro completo vs. tradicional
"Traditional red light therapy devices have tried to replicate the benefits we get from the sun, using single LED wavelengths (e.g. 650 nm, 850 nm). And while these wavelengths have shown clinically proven results - their effects are limited. Because the sun doesn’t emit a single wavelength - it delivers a broad, rich spectrum of red light. FAQ™ 502 is the first at-home device to use both broad-spectrum and narrow wavelength light technologies. This is what allows it to optimize results across multiple skin layers, and at precise depths - just like the sun (without the harmful UV and blue light).","Los dispositivos tradicionales de terapia de luz roja han intentado replicar los beneficios que obtenemos del sol utilizando longitudes de onda LED específicas (por ejemplo, 650 nm, 850 nm). Y aunque estas longitudes de onda han demostrado eficacia clínica, sus efectos son limitados. Esto se debe a que el sol no emite una única longitud de onda, sino que ofrece un espectro amplio y completo de luz roja. El FAQ™ 502 es el primer dispositivo para uso doméstico que combina tecnologías de luz de espectro amplio y longitudes de onda estrechas."
FAQ™ 502,FAQ™ 502
FAQ™ 501,FAQ™ 501
FAQ™ 502,FAQ™ 502
"Engineered to erase blemishes so you don’t have to cover them. Harnessing the power of full-spectrum red light energy, FAQ™ 502 goes beyond superficial treatments by targeting the root causes of skin damage at a cellular level. Whether you need help minimizing the appearance of fine lines & wrinkles, targeting pigmentation irregularities, or reducing texture & redness, this device visibly improves overall skin quality, and restores your complexion to its healthiest. This isn’t just red light therapy. It’s the complete spectrum of skin rejuvenation.","Diseñado para eliminar las imperfecciones. Aprovechando el poder de la luz roja de espectro completo, el dispositivo FAQ™ 502 va más allá de los tratamientos superficiales, actuando sobre las causas reales del daño cutáneo a nivel celular. Este dispositivo ayuda a reducir visiblemente las líneas de expresión y arrugas, corregir irregularidades en la pigmentación, mejorar la textura y disminuir el enrojecimiento. El resultado: una piel de aspecto más saludable y uniforme. Esto no es solo terapia con luz roja. Es el espectro completo del rejuvenecimiento cutáneo."
Full-spectrum red light energy: mimics the sun’s natural healing wavelengths - broad & narrow red light (without harmful UV or blue light).,"Energía de luz roja de espectro completo: reproduce las longitudes de onda naturales y terapéuticas del sol, combinando luz roja de banda ancha y estrecha, sin los rayos UV ni luz azul perjudiciales."
